Job Name,Company Name,JD,Skills,Date Posted,YOE,Location,Website,Job Function:,Industry:,Specialization:,Qualification:,Hiring Location:,Role:,Vacancies:
Python Engineer,east india securities ltd.,job_description   2  years of experience working with python    Strong analytical skills    Ability to churn scripting solutions with a quick turnaround time    Inclination to learn new technologies    Preferably background knowledge of Data Science / Machine Learning / Hadoop.,"python,hadoop,machinelearning",Posted 5 days ago,2 - 5 yrs,Kolkata,http://www.eisec.com/,IT Software : Software Products & Services,"Petroleum/Oil and Gas/Power,  Construction/Cement/Metal/Steel/Iron",Software Engineer,Any Graduate,,,
PYTHON DEVELOPER,DREAMAJAX TECHNOLOGIES,"PYTHON DEVELOPER B.E / B.Tech / MCA / M.Sc., or equivalent with 4  years of Strong Experience as a Python developerStrong hands on experience on Core Python, Django and Flask frameworks.Strong experience using Web Services and API's in python.Should work with Micro services architecture, multi-threaded application developmentExperience with SQL and NoSQL databasesStrong understanding of software development life-cycle and best practices.Must be able to gather requirements, design, code and test independently as well as work jointly with the team","python,django,api,sql,nosql",Posted 6 days ago,4 - 7 yrs,Bengaluru / Bangalore,,IT Software : Software Products & Services,"Telecom,  IT-Hardware/Networking",Software Engineer,"MCA/ PGDCA
                    
                    
                  

                    BE/ B.Tech (Engineering)",,,
Python Developer,InnOvator Web Solutions Pvt.Ltd.,"Job Category: DevelopmentJob Type: Full TimeJob Location: Malad (W)We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users.Good To have a knowledge of Django web frameworkKnowledge of Python Django Framework, understanding of server-side scripting languagesStrong experience using Web Services and APIs in python.Hands on Python / Django experience, esp. with MySQL & Django Rest frameworkMinimum 5  years experience in designing and developing applications using Python.","rest,python,django,webdeveloper,mysql,api",Posted 6 days ago,5 - 8 yrs,Mumbai,http://www.innovatorwebsolutions.com,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python - Odoo,AxisTechnolabs,"Responsibilities : We are looking for Freshers who want to grow thier career with Axis TechnolabsSuffering from finding dream jobsIT skills Requires for JobsWe can help you to make your future bright in IT through industry based training in internship.We also provide internship   100 PERCENT  job placement.Axis Technolabs providing 3 months Internship program in Python - Odoo technology.We build your skills to get your dream job.Intern's day-to-day responsibilities :- Get knowledge of Core Python and programming concepts- Odoo modules learning process- Learn about front-end development with HTML5, CSS3 and JQuery, Angular- Backend development learning process with PostgresSQL Databases- Get Knowledge of working with API- Work on ongoing live projects and sharpen your skillsRecently Passed BE, BCA, BSC MSC-IT, ME, B.Tech, M.Tech - Students can also apply for internship.Send your CV / resume at hr@axistechnolabs.comSpecify subject : Internship","python,django,itskills,html5,api,jquery",Posted 6 days ago,0 - 1 yrs,Ahmedabad,http://www.axistechnolabs.com,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,"MCA/ PGDCA
                    
                    
                  

                    BCA (Computer Application)",,,
Python Developer,pearl global solutions,"Python Developer  Django Job Type : Full time, EmployeeExperience : 4  years of experience in Python.Education : B.Tech/MCAQualities sought-out in the desired candidate: Strong knowledge of Django frameworks.Experience with desktop and online versions.Good Expertise in database (SQL).Excellent written and verbal communication skills in English.Team Player.","python,database,django,teamplayer,sql",Posted 6 days ago,4 - 7 yrs,Cochin/ Kochi/ Ernakulam,https://pearlglobalsolutions.com/,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python Developer,Ivan Infotech Pvt. Ltd.,"We are looking for a Python Developer to join our development team. Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team.Responsibilities Write effective, scalable codeDevelop back-end components to improve responsiveness and overall performanceIntegrate user-facing elements into applicationsTest and debug programsImprove functionality of existing systemsImplement security and data protection solutionsAssess and prioritize feature requestsCoordinate with internal teams to understand user requirements and provide technical solutions.Requirements Should have minimum 2 years relevant experience.Experience in writing REST APIs in Python/Flask.Database design and management.Integration and Continuous DeploymentGood handle on Object-Oriented programming.","rest,python,security,debugging",Posted few days ago,2 - 5 yrs,Kolkata,https://www.ivaninfotech.com/,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python Developer,CONNECTING 2 WORK,"We are looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for our clients. In this role, you will be responsible for writing and testing scalable code, developing back-end components, and integrating user-facing elements in collaboration with front-end developers.To be successful as a Python developer, you should possess in-depth knowledge of object-relational mapping, experience with server-side logic, and above-average knowledge of Python programming. Ultimately, a top-class Python developer is able to design highly responsive web applications that perfectly meet the needs of the client.Responsibilities: Coordinating with development teams to determine application requirements.Writing scalable code using Python programming language.Testing and debugging applications.Developing back-end components.Integrating user-facing elements using server-side logic.Assessing and prioritizing client feature requests.Integrating data storage solutions.Coordinating with front-end developers.Reprogramming existing databases to improve functionality.Developing digital tools to monitor online traffic.Requirements: Bachelors degree in computer science, computer engineering, or related field.1.5- 3 years of experience as a Python developer.Expert knowledge of Python and related frameworks including Django and Flask.A deep understanding and multi-process architecture and the threading limitations of Python.Familiarity with server-side templating languages including Jinja 2 and Mako.Ability to integrate multiple data sources into a single system.Familiarity with testing tools.Ability to collaborate on projects and work independently when required.","python,storage,django,testingtools,debugging",Posted few days ago,5 - 10 yrs,Thiruvananthapuram,http://www.connecting2work.com,IT Software : Software Products & Services,Consulting Services,Software Engineer,Any Graduate,,,
Python Developer,Sourcedesk Global Private Limited,"Sourcedesk Global is looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for our clients. To be successful as a Python developer, you should possess in-depth knowledge of object-relational mapping, experience with server-side logic, and above-average knowledge of Python programming. Ultimately, a top-class Python developer is able to design highly responsive web-applications that perfectly meet the needs of the client.We are offering superb career growth opportunities, great compensation and benefits.Python Developer Responsibilities: Coordinating with development teams to determine application requirements. Write reusable, testable, and efficient code using Python programming language. Design and execute low-latency, high-availability, and high-performing applications. Good understanding of SDLC and agile methodologies. Integrate back-end python-based modules with user-interface elements developed by front-end developers. Integrating user-facing elements using server-side logic. Integrating data storage solutions. Designing, building, testing, and deploying services and APIs that will be integral to our products. Reprogramming existing databases to improve functionality. Developing digital tools to monitor online traffic.Skills Required: Previous working experience as a Python Developer for 3  years. BS/MS degree in Computer Science, Engineering or a related subject. Hands on experience with Django, Flask or other Python frameworks Good understanding of server-side templating languages such as Jinja 2, Mako, etc Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3 Familiarity with some ORM (Object Relational Mapper) libraries. Ability to integrate multiple data sources into a single system. Experience with AWS or other cloud infrastructure. Ability to collaborate on projects and work independently when required.","html5,storage,python,javascript,django,infrastructure",Posted few days ago,3 - 15 yrs,Kolkata,http://www.sourcedeskglobal.com,IT Software : Software Products & Services,Others - other Industry,Software Engineer,"ME/ M.Tech./ MS (Engg/ Sciences)
                    
                    
                  

                    Any Graduate",,,
Python Developer,glan management consultancy pvt. ltd.,":We are hiring a Python Developer with minimum 4 to 5 years of experience in building highly scalable solutions based on a micro services architecture, you will be working with a highly skilled cross-functional team to enhance the core-banking platform. 5  years of experience in software development. (Mandatory) Experience with cloud computing and container-based distributed systems (Docker). Experience working with relational databases (preferably MySQL) and strong proficiency with SQL. Understanding of higher-level RDBMS concepts (locking and transaction model, isolation levels, deadlocks, etc.).Key Skill:Python developer. Python,","python,rdbms,mysql,cloudcomputing,docker,sql",Posted few days ago,5 - 8 yrs,Noida/Greater Noida,http://www.glansolutions.com/,IT Software : Software Products & Services,Consulting Services,Software Engineer,Any Graduate,,,
Python Developer,CANVERA TRADERS PRIVATE LIMITED,"Role & Responsibilities:Solid experience as Backend Developer of at least 5 years in total: out of which at least last 2 years in Python.Experience with Python frameworks (e.g. Django, Flask)Experience developing microservices in the cloud.Analyze, design and develop scalable services and components.Design, implement, test, and support internal and external APIs and services.Build efficient back-end features in Python.Integrate front-end components into applications.Manage testing and bug fixes.Prepare technical documentation.Collaborate with UX/UI designers to implement design into the code.Should have knowledge of deployment to local and cloud servers.Mentoring junior team members.Implement software enhancements and suggest improvements.Skills Required:Understanding of RDBMS and SQLKnowledge of JavaScript is a plus.Python APIs, the remaining experience can be in Python/Java.Experience developing and working with RESTful web services is required. Spring Core, Spring Boot experience is a big plus.","python,rdbms,javascript,sql,spring,springboot,django,java",Posted 2 days ago,5 - 8 yrs,Bengaluru / Bangalore,http://www.canvera.com,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
